"Empresa";"Credor";"Centro de Custo";"Plano Financeiro";"Documento";"Lançamento";"Parcela";"Id";"Dt. emissão";"Valor original";"Dt. vencimento";"Saldo atual";"Dias";"Dt. baixa";"Valor baixa";"Acréscimo";"Desconto";"Pagto líquido";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"95 - LIGHT SERVICOS DE ELETRICIDADE S A";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.05 - Energia Elétrica";"NFEE.3355256";"2616";"1/1";"00";"14/04/2023";"6,46";"03/05/2023";"0,00";"0";"28/04/2023";"6,46";"0,00";"0,00";"6,46";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"95 - LIGHT SERVICOS DE ELETRICIDADE S A";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.05 - Energia Elétrica";"NFEE.jun2023";"3434";"1/1";"00";"15/06/2023";"1.197,29";"22/06/2023";"0,00";"0";"20/06/2023";"1.197,29";"0,00";"0,00";"1.197,29";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"95 - LIGHT SERVICOS DE ELETRICIDADE S A";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.05 - Energia Elétrica";"NFEE.6067952";"3753";"1/1";"00";"05/07/2023";"1.227,23";"24/07/2023";"0,00";"0";"20/07/2023";"1.227,23";"0,00";"0,00";"1.227,23";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"95 - LIGHT SERVICOS DE ELETRICIDADE S A";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.05 - Energia Elétrica";"NFEE.8467641";"4410";"1/1";"00";"04/08/2023";"1.171,46";"22/08/2023";"0,00";"0";"18/08/2023";"1.171,46";"0,00";"0,00";"1.171,46";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"95 - LIGHT SERVICOS DE ELETRICIDADE S A";"301 - Eindom Participações - Adm/Financeiro";"2.01.06.05 - Energia Elétrica";"NFEE.030878846";"5105";"1/1";"00";"04/09/2023";"1.051,58";"22/09/2023";"0,00";"0";"20/09/2023";"1.051,58";"0,00";"0,00";"1.051,58";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"105 - SMAIS DISTRIBUIDORA E COMERCIO EIRELI";"301 - Eindom Participações - Adm/Financeiro";"2.01.07.02 - Material de Copa e Limpeza";"NFE .159654";"2049";"1/1";"00";"03/03/2023";"1.362,10";"23/03/2023";"0,00";"0";"20/03/2023";"1.362,10";"0,00";"0,00";"1.362,10";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"105 - SMAIS DISTRIBUIDORA E COMERCIO EIRELI";"301 - Eindom Participações - Adm/Financeiro";"2.01.07.02 - Material de Copa e Limpeza";"NFE .160801";"2131";"1/1";"00";"14/03/2023";"376,20";"03/04/2023";"0,00";"0";"30/03/2023";"376,20";"0,00";"0,00";"376,20";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"105 - SMAIS DISTRIBUIDORA E COMERCIO EIRELI";"301 - Eindom Participações - Adm/Financeiro";"2.01.07.02 - Material de Copa e Limpeza";"NFE .164367";"2620";"1/1";"00";"14/04/2023";"501,60";"04/05/2023";"0,00";"0";"28/04/2023";"501,60";"0,00";"0,00";"501,60";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"105 - SMAIS DISTRIBUIDORA E COMERCIO EIRELI";"301 - Eindom Participações - Adm/Financeiro";"2.01.07.02 - Material de Copa e Limpeza";"NFE .169547";"3331";"1/1";"00";"01/06/2023";"794,60";"21/06/2023";"0,00";"0";"20/06/2023";"794,60";"0,00";"0,00";"794,60";"";"";"";"";"";"";
"3 - EINDOM PARTICIPAÇÕES LTDA";"164 - MAGALU PAGAMENTOS LTDA";"301 - Eindom Participações - Adm/Financeiro";"2.01.07.06 - Bens de pequeno valor";"NFS .64738";"1944";"1/1";"00";"13/02/2023";"423,42";"13/02/2023";"0,00";"0";"13/02/2023";"423,42";"0,00";"0,00";"423,42";"";"";"";"";"";"";
